image,tag,total_layers,file_layer,image_size(byte),layer_size(byte),file_size(byte),filepath
jruby,latest,11,8,340748337,42020758,1620,/opt/jruby/lib/ruby/gems/shared/specifications/default/matrix-0.3.0.gemspec
jruby,latest,11,8,340748337,42020758,1630,/opt/jruby/lib/ruby/gems/shared/specifications/default/mutex_m-0.1.0.gemspec
jruby,latest,11,8,340748337,42020758,1537,/opt/jruby/lib/ruby/gems/shared/specifications/default/ostruct-0.5.1.gemspec
jruby,latest,11,8,340748337,42020758,1589,/opt/jruby/lib/ruby/gems/shared/specifications/default/prime-0.1.0.gemspec
jruby,latest,11,8,340748337,42020758,4301,/opt/jruby/lib/ruby/gems/shared/specifications/default/psych-3.3.2-java.gemspec
jruby,latest,11,8,340748337,42020758,5409,/opt/jruby/lib/ruby/gems/shared/specifications/default/racc-1.5.2-java.gemspec
jruby,latest,11,8,340748337,42020758,1614,/opt/jruby/lib/ruby/gems/shared/specifications/default/rake-ant-1.0.4.gemspec
jruby,latest,11,8,340748337,42020758,11279,/opt/jruby/lib/ruby/gems/shared/specifications/default/rdoc-6.1.2.1.gemspec
jruby,latest,11,8,340748337,42020758,3160,/opt/jruby/lib/ruby/gems/shared/specifications/default/rexml-3.1.9.1.gemspec
jruby,latest,11,8,340748337,42020758,2949,/opt/jruby/lib/ruby/gems/shared/specifications/default/rss-0.2.7.gemspec
jruby,latest,11,8,340748337,42020758,38192,/opt/jruby/lib/ruby/gems/shared/specifications/default/rubygems-update-3.2.29.gemspec
jruby,latest,11,8,340748337,42020758,1526,/opt/jruby/lib/ruby/gems/shared/specifications/default/scanf-1.0.0.gemspec
jruby,latest,11,8,340748337,42020758,1707,/opt/jruby/lib/ruby/gems/shared/specifications/default/shell-0.7.gemspec
jruby,latest,11,8,340748337,42020758,1623,/opt/jruby/lib/ruby/gems/shared/specifications/default/sync-0.5.0.gemspec
jruby,latest,11,8,340748337,42020758,1464,/opt/jruby/lib/ruby/gems/shared/specifications/default/thwait-0.1.0.gemspec
jruby,latest,11,8,340748337,42020758,1494,/opt/jruby/lib/ruby/gems/shared/specifications/default/tracer-0.1.0.gemspec
jruby,latest,11,8,340748337,42020758,2802,/opt/jruby/lib/ruby/gems/shared/specifications/default/webrick-1.7.0.gemspec
jruby,latest,11,8,340748337,42020758,1521,/opt/jruby/lib/ruby/gems/shared/specifications/did_you_mean-1.3.0.gemspec
jruby,latest,11,8,340748337,42020758,4810,/opt/jruby/lib/ruby/gems/shared/specifications/minitest-5.11.3.gemspec
jruby,latest,11,8,340748337,42020758,1261,/opt/jruby/lib/ruby/gems/shared/specifications/net-telnet-0.1.1.gemspec
jruby,latest,11,10,340748337,2507164,1425,/opt/jruby/lib/ruby/gems/shared/specifications/net-telnet-0.2.0.gemspec
jruby,latest,11,8,340748337,42020758,2458,/opt/jruby/lib/ruby/gems/shared/specifications/power_assert-1.1.3.gemspec
jruby,latest,11,8,340748337,42020758,2617,/opt/jruby/lib/ruby/gems/shared/specifications/rake-12.3.3.gemspec
jruby,latest,11,10,340748337,2507164,1882,/opt/jruby/lib/ruby/gems/shared/specifications/rake-13.0.6.gemspec
jruby,latest,11,8,340748337,42020758,2374,/opt/jruby/lib/ruby/gems/shared/specifications/test-unit-3.2.9.gemspec
jruby,latest,11,8,340748337,42020758,1590,/opt/jruby/lib/ruby/gems/shared/specifications/xmlrpc-0.3.0.gemspec
jruby,latest,11,10,340748337,2507164,1570,/opt/jruby/lib/ruby/gems/shared/specifications/xmlrpc-0.3.2.gemspec
jruby,latest,11,8,340748337,42020758,10695,/opt/jruby/lib/ruby/stdlib/delegate.rb
jruby,latest,11,8,340748337,42020758,4038,/opt/jruby/lib/ruby/stdlib/e2mmap.rb
jruby,latest,11,8,340748337,42020758,12845,/opt/jruby/lib/ruby/stdlib/irb/context.rb
jruby,latest,11,8,340748337,42020758,9840,/opt/jruby/lib/ruby/stdlib/irb/extend-command.rb
jruby,latest,11,8,340748337,42020758,7764,/opt/jruby/lib/ruby/stdlib/irb/init.rb
jruby,latest,11,8,340748337,42020758,4747,/opt/jruby/lib/ruby/stdlib/irb/input-method.rb
jruby,latest,11,8,340748337,42020758,3694,/opt/jruby/lib/ruby/stdlib/irb/inspector.rb
jruby,latest,11,8,340748337,42020758,983,/opt/jruby/lib/ruby/stdlib/irb/lc/error.rb
jruby,latest,11,8,340748337,42020758,4739,/opt/jruby/lib/ruby/stdlib/irb/locale.rb
jruby,latest,11,8,340748337,42020758,928,/opt/jruby/lib/ruby/stdlib/irb/magic-file.rb
jruby,latest,11,8,340748337,42020758,7353,/opt/jruby/lib/ruby/stdlib/irb/notifier.rb
jruby,latest,11,8,340748337,42020758,2495,/opt/jruby/lib/ruby/stdlib/irb/output-method.rb
jruby,latest,11,8,340748337,42020758,23065,/opt/jruby/lib/ruby/stdlib/irb.rb
jruby,latest,11,8,340748337,42020758,24788,/opt/jruby/lib/ruby/stdlib/irb/ruby-lex.rb
jruby,latest,11,8,340748337,42020758,7539,/opt/jruby/lib/ruby/stdlib/irb/ruby-token.rb
jruby,latest,11,8,340748337,42020758,6990,/opt/jruby/lib/ruby/stdlib/irb/slex.rb
jruby,latest,11,8,340748337,42020758,147,/opt/jruby/lib/ruby/stdlib/irb/src_encoding.rb
jruby,latest,11,8,340748337,42020758,296,/opt/jruby/lib/ruby/stdlib/irb/version.rb
jruby,latest,11,8,340748337,42020758,4158,/opt/jruby/lib/ruby/stdlib/irb/workspace.rb
jruby,latest,11,8,340748337,42020758,1129,/opt/jruby/lib/ruby/stdlib/jar_install_post_install_hook.rb
jruby,latest,11,8,340748337,42020758,1453,/opt/jruby/lib/ruby/stdlib/jars/post_install_hook.rb
jruby,latest,11,8,340748337,42020758,268780,/opt/jruby/lib/ruby/stdlib/jline/jline/2.14.6/jline-2.14.6.jar
jruby,latest,11,8,340748337,42020758,7022,/opt/jruby/lib/ruby/stdlib/monitor.rb
jruby,latest,11,8,340748337,42020758,96,/opt/jruby/lib/ruby/stdlib/rbconfig.rb
jruby,latest,11,8,340748337,42020758,48759,/opt/jruby/lib/ruby/stdlib/readline.jar
jruby,latest,11,8,340748337,42020758,509,/opt/jruby/lib/ruby/stdlib/readline.rb
jruby,latest,11,8,340748337,42020758,94,/opt/jruby/lib/ruby/stdlib/readline/version.rb
jruby,latest,11,8,340748337,42020758,7888,/opt/jruby/lib/ruby/stdlib/rubygems/basic_specification.rb
jruby,latest,11,8,340748337,42020758,3114,/opt/jruby/lib/ruby/stdlib/rubygems/bundler_version_finder.rb
jruby,latest,11,8,340748337,42020758,1022,/opt/jruby/lib/ruby/stdlib/rubygems/compatibility.rb
jruby,latest,11,8,340748337,42020758,2507,/opt/jruby/lib/ruby/stdlib/rubygems/core_ext/kernel_gem.rb
jruby,latest,11,8,340748337,42020758,5355,/opt/jruby/lib/ruby/stdlib/rubygems/core_ext/kernel_require.rb
jruby,latest,11,8,340748337,42020758,1345,/opt/jruby/lib/ruby/stdlib/rubygems/core_ext/kernel_warn.rb
jruby,latest,11,8,340748337,42020758,2874,/opt/jruby/lib/ruby/stdlib/rubygems/defaults/jruby.rb
jruby,latest,11,8,340748337,42020758,229,/opt/jruby/lib/ruby/stdlib/rubygems/defaults/operating_system.rb
jruby,latest,11,8,340748337,42020758,7011,/opt/jruby/lib/ruby/stdlib/rubygems/defaults.rb
jruby,latest,11,8,340748337,42020758,8803,/opt/jruby/lib/ruby/stdlib/rubygems/dependency.rb
jruby,latest,11,8,340748337,42020758,3527,/opt/jruby/lib/ruby/stdlib/rubygems/deprecate.rb
jruby,latest,11,8,340748337,42020758,4762,/opt/jruby/lib/ruby/stdlib/rubygems/errors.rb
jruby,latest,11,8,340748337,42020758,6447,/opt/jruby/lib/ruby/stdlib/rubygems/exceptions.rb
jruby,latest,11,8,340748337,42020758,1925,/opt/jruby/lib/ruby/stdlib/rubygems/path_support.rb
jruby,latest,11,8,340748337,42020758,6814,/opt/jruby/lib/ruby/stdlib/rubygems/platform.rb
jruby,latest,11,8,340748337,42020758,37749,/opt/jruby/lib/ruby/stdlib/rubygems.rb
jruby,latest,11,8,340748337,42020758,23129,/opt/jruby/lib/ruby/stdlib/rubygems/request_set/gem_dependency_api.rb
jruby,latest,11,8,340748337,42020758,7458,/opt/jruby/lib/ruby/stdlib/rubygems/request_set/lockfile/parser.rb
jruby,latest,11,8,340748337,42020758,5631,/opt/jruby/lib/ruby/stdlib/rubygems/request_set/lockfile.rb
jruby,latest,11,8,340748337,42020758,2817,/opt/jruby/lib/ruby/stdlib/rubygems/request_set/lockfile/tokenizer.rb
jruby,latest,11,8,340748337,42020758,11500,/opt/jruby/lib/ruby/stdlib/rubygems/request_set.rb
jruby,latest,11,8,340748337,42020758,7076,/opt/jruby/lib/ruby/stdlib/rubygems/requirement.rb
jruby,latest,11,8,340748337,42020758,2968,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/activation_request.rb
jruby,latest,11,8,340748337,42020758,2905,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/api_set.rb
jruby,latest,11,8,340748337,42020758,2807,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/api_specification.rb
jruby,latest,11,8,340748337,42020758,1659,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/best_set.rb
jruby,latest,11,8,340748337,42020758,1212,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/composed_set.rb
jruby,latest,11,8,340748337,42020758,3327,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/conflict.rb
jruby,latest,11,8,340748337,42020758,280,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/current_set.rb
